one week earlier;ecb meeting
1998-06-02;1998-06-09
1998-07-01;1998-07-08
1998-09-04;1998-09-11
1998-10-06;1998-10-13
1998-10-27;1998-11-03
1998-11-24;1998-12-01
1998-12-15;1998-12-22
1998-12-31;1999-01-07
1999-01-28;1999-02-04
1999-02-25;1999-03-04
1999-04-01;1999-04-08
1999-04-29;1999-05-06
1999-05-26;1999-06-02
1999-07-08;1999-07-15
1999-09-02;1999-09-09
1999-09-30;1999-10-07
1999-10-28;1999-11-04
1999-11-25;1999-12-02
1999-12-29;2000-01-05
2000-01-27;2000-02-03
2000-02-24;2000-03-02
2000-03-23;2000-03-30
2000-04-06;2000-04-13
2000-05-04;2000-05-11
2000-06-01;2000-06-08
2000-06-29;2000-07-06
2000-09-07;2000-09-14
2000-09-28;2000-10-05
2000-10-12;2000-10-19
2000-10-26;2000-11-02
2000-12-07;2000-12-14
2001-01-25;2001-02-01
2001-02-22;2001-03-01
2001-04-04;2001-04-11
2001-05-03;2001-05-10
2001-05-31;2001-06-07
2001-06-14;2001-06-21
2001-06-28;2001-07-05
2001-08-23;2001-08-30
2001-10-04;2001-10-11
2001-11-01;2001-11-08
2001-11-29;2001-12-06
2001-12-06;2001-12-13
2001-12-27;2002-01-03
2001-12-27;2002-01-03
2002-01-31;2002-02-07
2002-02-28;2002-03-07
2002-03-28;2002-04-04
2002-04-25;2002-05-02
2002-05-30;2002-06-06
2002-06-27;2002-07-04
2002-09-05;2002-09-12
2002-10-03;2002-10-10
2002-10-31;2002-11-07
2002-11-28;2002-12-05
2003-01-02;2003-01-09
2003-01-30;2003-02-06
2003-02-27;2003-03-06
2003-03-27;2003-04-03
2003-05-01;2003-05-08
2003-05-01;2003-05-08
2003-05-29;2003-06-05
2003-07-03;2003-07-10
2003-08-28;2003-09-04
2003-09-10;2003-09-17
2003-09-25;2003-10-02
2003-10-06;2003-10-13
2003-10-30;2003-11-06
2003-11-27;2003-12-04
2004-01-01;2004-01-08
2004-01-29;2004-02-05
2004-02-26;2004-03-04
2004-03-25;2004-04-01
2004-04-29;2004-05-06
2004-05-27;2004-06-03
2004-06-24;2004-07-01
2004-08-26;2004-09-02
2004-09-30;2004-10-07
2004-10-28;2004-11-04
2004-11-25;2004-12-02
2005-01-06;2005-01-13
2005-01-13;2005-01-20
2005-01-13;2005-01-20
2005-01-14;2005-01-21
2005-01-27;2005-02-03
2005-02-24;2005-03-03
2005-03-31;2005-04-07
2005-04-27;2005-05-04
2005-05-26;2005-06-02
2005-06-30;2005-07-07
2005-08-25;2005-09-01
2005-09-29;2005-10-06
2005-10-27;2005-11-03
2005-11-24;2005-12-01
2006-01-05;2006-01-12
2006-01-26;2006-02-02
2006-02-23;2006-03-02
2006-03-30;2006-04-06
2006-04-27;2006-05-04
2006-06-01;2006-06-08
2006-06-29;2006-07-06
2006-07-27;2006-08-03
2006-08-24;2006-08-31
2006-09-28;2006-10-05
2006-10-26;2006-11-02
2006-11-30;2006-12-07
2007-01-04;2007-01-11
2007-02-01;2007-02-08
2007-03-01;2007-03-08
2007-04-05;2007-04-12
2007-05-03;2007-05-10
2007-05-30;2007-06-06
2007-06-28;2007-07-05
2007-07-26;2007-08-02
2007-08-30;2007-09-06
2007-09-27;2007-10-04
2007-11-01;2007-11-08
2007-11-29;2007-12-06
2008-01-03;2008-01-10
2008-01-31;2008-02-07
2008-02-28;2008-03-06
2008-04-03;2008-04-10
2008-05-01;2008-05-08
2008-05-29;2008-06-05
2008-06-26;2008-07-03
2008-07-31;2008-08-07
2008-08-28;2008-09-04
2008-09-25;2008-10-02
2008-10-30;2008-11-06
2008-11-27;2008-12-04
2009-01-08;2009-01-15
2009-01-29;2009-02-05
