Symbol,Exchange,Sector,Industry
8TRA,XETRA,Consumer durables,Motor vehicles
AAK,ST,Consumer non-durables,Food: specialty/candy
ABB,ST,Producer manufacturing,Electrical products
ABG,OLL,Finance,Investment banks/Brokers
AC,PA,Consumer services,Hotels/Resorts/Cruise lines
ACA,PA,Finance,Regional banks
ACAD,ST,Consumer services,Other consumer services
ACAST,ST,Technology services,Packaged software
ACLN,SW,Producer manufacturing,Trucks/Construction/Farm machinery
ADDT-B,ST,Electronic technology,Electronic production equipment
ADEN,SW,Commercial services,Personnel services
ADS,XETRA,Consumer non-durables,Apparel/Footwear
AF,PA,Transportation,Airlines
AFRY,ST,Commercial services,Miscellaneous commercial services
AFX,XETRA,Health technology,Medical specialties
AG1,XETRA,Technology services,Internet software/Services
AI,PA,Process industries,Chemicals: specialty
AIR,XETRA,Electronic technology,Aerospace & defense
AIXA,XETRA,Producer manufacturing,Industrial machinery
AKE,PA,Process industries,Chemicals: major diversified
AKRBP,OLL,Energy minerals,Integrated oil
AKSO,OLL,Utilities,Alternative power generation
ALC,SW,Health technology,Medical specialties
ALCBI,PA,Technology services,Packaged software
ALFA,ST,Producer manufacturing,Industrial machinery
ALHG,PA,Miscellaneous,Miscellaneous
ALK-B,CO,Health technology,Biotechnology
ALLEI,ST,Non-energy minerals,Steel
ALMB,CO,Finance,Multi-line insurance
ALO,PA,Producer manufacturing,Trucks/Construction/Farm machinery
ALTBG,PA,Commercial services,Advertising/Marketing services
ALV,XETRA,Finance,Multi-line insurance
AMBEA,ST,Health services,Medical/Nursing services
AMBU-B,CO,Health technology,Medical specialties
AMS,SW,Electronic technology,Semiconductors
ANDF,OLL,Process industries,Agricultural commodities/Milling
APOTEA,ST,Retail trade,Drugstore chains
ARJO-B,ST,Distribution services,Medical distributors
ASSA-B,ST,Consumer durables,Tools & hardware
AT1,XETRA,Finance,Real estate investment trusts
ATCO-A,ST,Producer manufacturing,Industrial machinery
ATCO-B,ST,Producer manufacturing,Industrial machinery
ATRLJ-B,ST,Finance,Real estate development
ATT,ST,Health services,Services to the health industry
AUTO,OLL,Technology services,Packaged software
AVOL,SW,Retail trade,Specialty stores
AXFO,ST,Retail trade,Food retail
AYV,PA,Finance,Finance/Rental/Leasing
AZA,ST,Finance,Investment banks/Brokers
B2I,OLL,Commercial services,Miscellaneous commercial services
BAER,SW,Finance,Financial conglomerates
BALD-B,ST,Finance,Real estate development
BAS,XETRA,Producer manufacturing,Electrical products
BAVA,CO,Health technology,Pharmaceuticals: major
BAYN,XETRA,Health technology,Pharmaceuticals: major
BC8,XETRA,Technology services,Information technology services
BCY,XETRA,Finance,Investment banks/Brokers
BEI,XETRA,Consumer non-durables,Household/Personal care
BEIJ-B,ST,Distribution services,Wholesale distributors
BETS-B,ST,Consumer services,Casinos/Gaming
BHG,ST,Retail trade,Specialty stores
BICO,ST,Health technology,Biotechnology
BILL,ST,Process industries,Pulp & paper
